id,action,purpose,why,contact,url,agency,labeler
0db2cce95d7f,Track with agency,status,DOT created an ARTS case (DOT-728878-F9G8) to assess feasibility.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0dbccd04261b,Contact agency,redirect,Most intersections completed; Kingston is a DEP capital project.,,,Department of Environmental Protection,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
0dc1c51019c9,Track with agency,status,Irving Square Park playground is funded ($4M); community input meeting planned.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0dce406ef770,Contact elected officials,funding,"CB will get 8,000 sqft in the T Building but must finance fit-out costs itself.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0dd0e38a510b,Track with agency,status,DOHMH and other agencies are already addressing bed bugs; see online portal.,,www.nyc.gov/html/om/pdf/2010/dm_07-28-10.pdf,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
0dd2ebaf4dae,Contact agency,redirect,DOHMH encourages continuing the conversation with H+H on Harlem Hospital programming.,,,NYC Health + Hospitals,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
0ddc646b2b90,Contact agency,clarify,EDC needs the specific storefront locations to evaluate this request.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0ddfc138f333,Contact elected officials,funding,Parks agrees more funding would help Trees & Sidewalks Program capacity.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0de6fd2bc048,Contact agency,redirect,Parks doesn't install security cameras; NYPD assesses sites for camera installation.,,,Police Department,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
0dff3a5dd9d7,Track with agency,status,SBS offers technical support and rolling grants for BID formation/expansion.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0e0ad3ceb218,Track with agency,status,SBS Workforce1 already serves justice-involved and foster youth 18+ citywide.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
0e15a52fd649,Contact elected officials,funding,Parks is seeking FY26 funding for playground and restroom renovation.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0e1aad5536c0,Contact elected officials,funding,Dog run plan for Hyland Park was declined; board should advocate with elected officials.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0e1e408b1138,Contact agency,study,DSNY will evaluate this request.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0e1eb569a62d,Contact elected officials,funding,Parks has no capital funding allocated for grading near the restroom/flagpole.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0e45a2b73cf3,Contact agency,redirect,Most intersections completed; Kingston is a DEP capital project.,,,Department of Environmental Protection,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
0e4691408075,Contact elected officials,funding,NYPD is working with OMB on fleet funding; more funds needed to expand further.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0e4b83470831,Track with agency,status,Citywide ADA renovation is underway; 26th Precinct isn't in the current wave.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0e4c23e396fb,Contact agency,reconsider,DSNY already has this type of vehicle; deployment is an internal department decision.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0e502b0cf9d4,Track with agency,status,DYCD's youth workforce programs already serve qualifying youth in every borough.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
0e60c3ba70c7,Contact agency,clarify,DCP Borough Office wants to better understand the request and will reach out.,DCP Borough Office,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
0e6e4d768c24,Contact elected officials,funding,DPR understands the request but has no capital funds; recommends elected officials.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
0e8536389c19,No follow-up needed,none,"ACS says this is completed; FEC network expanded to 30, final one opens FY26.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0e871edd2462,Contact agency,discuss,DSNY's Community Liaison Unit works with community boards on concerns.,DSNY Bureau of Community Affairs/Community Liaison Unit: 646-885-4503,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
0e8d44a26269,Contact agency,redirect,"Greenstreets are a Parks Department program, not DOT.",,,Department of Parks & Recreation,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
0ea5888d40a1,Track with agency,status,OMB says this capital project is a line item in the Executive Budget for FY2023.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0eb47af33e3d,Track with agency,status,OMB says the agency will try to accommodate this within existing resources.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0ebf58d8634d,Contact elected officials,funding,SCA/DOE say funding is not available for this request.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0ed0d11efd5e,Contact agency and elected officials,funding,DPR has no capital funds for a restroom; discuss feasibility with Parks.,Parks Department,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
0ed3723d7571,Contact elected officials,funding,Only the City Council funds this program; HPD has no control over restoration.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
0edd779502e4,Contact agency,clarify,DOHMH says the request is too broad; needs more specific details.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0edf32d7ed1f,Contact elected officials,funding,Parks supports more staff to keep restrooms open longer but lacks expense funding.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0ef41c0fbbaa,Contact elected officials,funding,Parks supports but funding cannot be determined at this time.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0ef5333a2293,Contact elected officials,funding,Parks will plant trees in available locations but needs funds for tree guards.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0efde2a81a9f,Contact agency,clarify,SBS already offers relevant training; supply info via intergov@sbs.nyc.gov.,intergov@sbs.nyc.gov,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
0f05eaea168c,Contact agency,reconsider,DCP cannot fund/expand CB staffing; its Borough Office already works with the board.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0f0834a1aff2,Track with agency,status,John Hancock Playground has $20M funding pending; community input meeting planned.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0f0a676d8540,Contact elected officials,funding,"Approval depends on sufficient Federal/State funds, beyond NYPD's control.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0f0c766eaa01,Contact agency,redirect,DOHMH says this isn't in city budget jurisdiction; contact OMB's Community Board Unit.,OMB's Community Board Unit,,Office of Management & Budget,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
0f164ae166a3,Track with agency,status,DHS has doubled HOME-STAT street outreach investment and staff since 2014.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0f2167652ffe,Track with agency,status,DSNY will try to accommodate this request where possible using existing resources.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0f4b4cf2b400,Contact agency,clarify,NYPL branches already open six days a week; OMB says supply more detail.,NYPL,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
0f5a920348c8,Track with agency,status,HPD will continue funding supportive housing construction from its pipeline.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0f7b7462524d,Contact elected officials,funding,Parks lacks expense funding to hire additional recreation staff.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0f7fe7399df0,Track with agency,status,ADA renovation is a funded line item in the FY2023 Executive Budget.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0f853cf541d1,Contact elected officials,funding,Parks needs funding for reconstruction; ULURP process also needs to proceed.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0f8695703e9b,Contact agency,reconsider,DHS says congregate settings accommodate more people than single placements.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0f96d4acd0b9,Track with agency,status,HWK876 construction is scheduled for 2026; exact date to be shared soon.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0f98a6156d2b,Contact agency,clarify,"OMB says project is already funded, contradicting agency's 'not recommended'; supply detail.",Department of Parks & Recreation,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
0fac9d7350bc,Track with agency,status,Homelessness prevention funding is baselined in DHS's expense budget.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0fae36217c6a,Contact elected officials,funding,NYPD staffing depends on the Preliminary/Executive Budget process and Academy graduations.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0fae7b4398ea,Track with agency,status,LPC already has an enforcement system that responds to concerns in a timely manner.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
0fb4258411d5,Track with agency,status,"DOT, Parks, Council Member Feliz, and the board already met on site this summer.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0fcbba8aed01,Contact agency,reconsider,DOT says this is a duplicate of request 203202738E.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0fde40edf735,Contact elected officials,funding,NYPD filling budgeted vacancies; headcount tied to budget allocation.,,,,"claude-sonnet, label_followup/rubric.md with the sharpened rules, 2026-09-25 (targeted relabel)"
0fec027a67df,Contact agency,discuss,NYPL supports but can't prioritize now; OMB funded this request in part.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0fed635b76e9,No follow-up needed,none,"HPD says this is completed; inspector headcount has increased, more to come.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0ff188225ad8,Contact agency,study,Parks is studying the whole recreation center; plan expected in about a year.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0ff44a1d1e66,Contact agency,clarify,HPD can't directly fund unaffiliated entities; needs more info on how to help.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0ffa5082620f,Contact agency,redirect,DOT says to contact NYC EDC regarding this request.,,,Economic Development Corporation,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
10034a20d818,Contact agency,reconsider,NYCEM won't endorse a private party's planning funds; may reconsider during plan update.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
100db564b864,Track with agency,status,DOHMH's Rodent Task Force meets weekly to coordinate on pest hot spots.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
10236a117c99,Contact elected officials,funding,"DOT needs City Council/discretionary funding ($25,000/pad) for bus pads.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
102cba758b67,Track with agency,status,"Project funded in a prior fiscal year; preliminary design contract let, managed by DDC.",,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
103818990621,Contact agency,discuss,Sidewalks are the property owner's responsibility; submit curb repair locations to Borough Commissioner.,Borough Commissioner,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
103b9ced2a84,Track with agency,status,"FDNY already does semi-annual hydrant inspections, reporting defects to DEP.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
104c8295c373,Track with agency,status,Citywide funds are increased in FY2023; FDNY will allocate after budget adoption.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
10615fa9a33f,No follow-up needed,none,EDC says this project was completed or finished in FY2021 and is funded.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
1066b9cc15b3,Track with agency,status,HRA continues to maintain Domestic Violence programs in the community.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
106998fbe856,No follow-up needed,none,DOT says this project was completed.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
106c3c99ebd7,Track with agency,status,DHS funds street outreach citywide; DYCD funds runaway/homeless youth programs too.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
106da190f947,Contact agency,redirect,DOHMH directs board to contact the Mayor's Office of Community Mental Health directly.,,,Mayor's Office of Community Mental Health,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
108be49112c0,Track with agency,status,Project is included in the Executive Budget's out-years capital plan.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
108d2a4dee7e,Track with agency,status,SBS offers technical support and grants for BID formation/expansion feasibility.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
1092a8eaaa44,Track with agency,status,Project was funded in a prior fiscal year and the scope is underway.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
109dcebc347a,Contact agency,clarify,"DHS describes its Safe Haven/stabilization bed system; OMB says already funded, supply more detail.",,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
10adf76ff830,Track with agency,status,Parks can increase patrols using existing resources.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
10b47a8ed8f2,Contact agency,discuss,"OMB says this NYPL project is only partially funded, not fully complete.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
10c0cb11e617,Contact agency,clarify,Agency needs additional information from the board regarding this request.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
10c52c7c08a4,Contact elected officials,funding,Sport Field completed; Senior Center in procurement; OMB recommends elected officials.,,https://capitaltracker.nycha.info/developments/514,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
10c81d47ecf2,Track with agency,status,"SBS already offers workshops, networking events, and a hotline for entrepreneurs.",Small Business Hotline: 888-SBS-4NYC,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
10d1983b1900,Track with agency,status,"SCA/DSF are completing bottle fillers, drain repair, radiators, and exterior work.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
10d5ab4b1599,Contact agency,discuss,Agency declines; contact the agency directly and promptly for more information.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
10df2f9d60f8,Contact elected officials,funding,Parks agrees on more staff; needs FY27 expense funding; will evaluate then.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
10e2c1c78aa6,Contact elected officials,funding,Parks funds insufficient; recommends bringing this to elected officials.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
10f722b92222,No follow-up needed,none,DCP/DEP already met with CB6 in 2025 on flood risk mitigation efforts.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
10fd77087025,Contact agency,clarify,DHS asks board to report illicit-activity details to its Community Affairs division.,DHS Community Affairs division: 212-361-7900,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
1104888b0ba4,Track with agency,status,DCAS approved relocation search; renewed current lease short-term meanwhile.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
11098f81e28d,Track with agency,status,HRA serves 3 million low-income New Yorkers through its antipoverty programs.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
1117090e1595,Contact agency,study,DSNY is evaluating the need and feasibility of this request.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
11232181553a,Contact elected officials,funding,"DOE supports tech in schools pending funds; window AC needs expense, not capital, funding.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
11313e4b4828,Track with agency,status,DHS is currently equipping shelters with Wi-Fi.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
113a4bc5c449,Track with agency,status,"HPD will issue an RFP soon for 388 Hudson St, including the requested rec center.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
11456e864614,Track with agency,status,"The Arches are part of DOT's Plaza Program, to be considered for amenities.",,,,"claude-sonnet, label_followup/rubric.md with the sharpened rules, 2026-09-25 (targeted relabel)"
1145b48e1057,Contact elected officials,funding,Capital improvements to these McGolrick Park areas have not been funded.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
114600e6cb0f,Contact agency,study,EDC is currently investigating the possibility of a project at this site.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
115235c0d986,Contact elected officials,funding,NYPL supports but needs additional funds for construction and outfitting.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
11524f73468b,Contact agency,clarify,DOT needs the specific remedy clarified; notes this may be an NYPD enforcement issue.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
1153f97194cb,Contact agency,discuss,Phase 1 of Lakeshore Restoration is funded ($20M); further phases need funding.,,https://www.prospectpark.org/learn-more/what-we-do/advancing-the-park/capital-projects-tracker/,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
1154da4e8dc2,Contact agency,clarify,Handball court is done; synthetic turf is in design; supply more detail to DPR.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
116b227585bb,No follow-up needed,none,SCA says this request has already been completed and funded.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
116c82928f0d,Track with agency,status,"Site acquisition funding wasn't approved, but a site search is now underway.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
118362300095,Contact agency,discuss,NYPL requests funding for Hamilton Grange HVAC; OMB funded this in part.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
11909cb3b635,Contact elected officials,funding,NYPD staffing depends on the Preliminary/Executive Budget process and Academy graduations.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
119e1094dc52,Contact elected officials,funding,QPL needs expense funding to study this; capital/operational funding undetermined.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
11a26e703ef6,Contact agency,study,"DOT is exploring street-end revitalization; nothing decided, will engage board later.",,,,"claude-sonnet, label_followup/rubric.md with the sharpened rules, 2026-09-25 (targeted relabel)"
11a3e9efa9c4,Contact elected officials,funding,Parks lacks expense funding to hire additional maintenance staff.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
11a79da2f411,Track with agency,status,Public art funding is already being provided for Harlem River Park Greenway.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
11b4e2283eaa,Contact elected officials,funding,NYPL needs increased funding beyond FY17 levels to expand hours/services.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
11bb45938a4a,Use 311 or another channel,channel,New vehicles are requested by the commanding officer via the replacement-cycle/RFP procedure.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
11c38c467c9f,Contact agency,discuss,Approved and being installed as scheduling permits; contact Staten Island Borough Commissioner's Office.,Staten Island Borough Commissioner's Office,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
11c4b5cb44cf,Track with agency,status,SBS will accommodate with existing resources; hotline covers Commercial Lease Assistance.,SBS Small Business Hotline: (888) SBS-4NYC,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
11c50f934309,Track with agency,status,"Capital funding exists for this project, which is currently in design.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
11d2b2567901,Contact agency,study,NYPD Patrol Boroughs enforce traffic laws based on conditions and complaints; study needed.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
11d931386129,Contact agency,redirect,"Dyer Avenue is under the jurisdiction of the Port Authority, not DOT.",,,Port Authority,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
11dc1e75964a,Contact elected officials,funding,Parks funds are insufficient; already partially funded; recommends elected officials for the rest.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
11e7956b2a18,Contact agency,reconsider,Parks says it does not maintain this facility.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
11e895ab3913,Track with agency,status,Parks will accommodate litter cleanup with existing staff resources.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
11eed4c94f26,Contact agency and elected officials,funding,Argus cameras funded via elected officials' allocations; give locations to precinct.,"local precinct commander, for submission to NYPD IT Bureau",,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
11f4400cb423,Contact agency,discuss,Crime and quality-of-life issues should go to the local Precinct Commander.,local Precinct Commander,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
12258c7be66b,Contact elected officials,funding,Litter baskets need elected-official/business sponsorship; Better Bins funded via Council.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
123856a4c19a,Track with agency,status,OMB says this project is included in DOT's Ten-Year Plan.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
12399363711d,Contact elected officials,funding,Parks lacks capital funding for public restroom improvements at Saratoga Park.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
1244f6e9df89,Track with agency,status,QBPL is actively searching for space; capital funding has been provided.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
12517aa012cd,Contact agency and elected officials,funding,DCP has no discretionary funds; OMB recommends bringing this to elected officials.,DCP Borough Office,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
1257c7191ce6,Contact elected officials,funding,"HPD has no funding; only City Council funds this program, not HPD.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
125a38f120f0,No follow-up needed,none,Community board already relocated to 211 43rd St in 2018; no City-owned space available.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
126b6bf2d1db,Track with agency,status,Jackie Robinson Playground improvements are funded; input meeting already held.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
1270e27ffe97,Contact elected officials,funding,Approval depends on sufficient Federal/State funds; already partially funded.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
127d585b1f71,Track with agency,status,NYPD says the program will continue operating within current funding levels.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
128a0da0d5a4,No follow-up needed,none,DYCD says this is completed; funds 4 Beacon Community Centers in Bronx CD7.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
128a801a00c4,Contact agency,clarify,EDC needs additional detail on this request before it can recommend.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
128f48bb788a,No follow-up needed,none,"DYCD says this is completed; SYEP supports 100,000 youth jobs each summer.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
12a31192d9bb,Contact elected officials,funding,NYPL is prioritizing unfunded Yorkville library facade/elevator work instead.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
12ab1508aa55,Track with agency,status,OMB says funding for this DSNY school-service program was restored.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
12d81c0d1f7e,Use 311 or another channel,channel,Agency and OMB agree this is not a budget request.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
12dbebd04ad6,Contact elected officials,funding,Parks lacks capital funding for P.O. Salgado Playground improvements.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
12f120885c30,Contact elected officials,funding,"DOT cites capital funding constraints, capacity, and priorities as obstacles.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
12fc421b081b,Track with agency,status,Electricity access is included in the upcoming Court Square Park reconstruction.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
130fed233dfa,Track with agency,status,DOT says this project is in progress.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
1319c1f39f78,Use 311 or another channel,channel,"DYCD funds programs only through public RFP solicitations, not board requests.",,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
1330c96b817b,Track with agency,status,"Parks has capital funding for fitness track, ballfield, and path upgrades.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
1348bbead909,Contact agency,redirect,DOT recommends the board discuss this request with Parks and EDC instead.,,,Department of Parks & Recreation,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
13497de40b2a,Contact agency,discuss,DOHMH coordinates with NYCHA/HPD/DOB on lead paint; happy to discuss further.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
1354ae193972,Contact agency,clarify,EDC needs clarification; this entry appears to contain multiple requests.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
1356965b9aa8,Track with agency,status,DYCD's Saturday Night Lights program already operates in CD2 at PAL New South Bronx.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
136029633f3c,Contact elected officials,funding,Scope isn't fully funded; DCLA recommends elected officials for additional funding.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
13702ebed708,Track with agency,status,DOHMH says it will accommodate this issue within existing resources.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
1375a4ee43a8,Contact agency,redirect,"DPR says this would fall under NYPD's jurisdiction, not Parks.",,,Police Department,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
1375f0c59909,Track with agency,status,Fire alarm/roof/window work is done; Owen Dolen Rec Center reopens in 2026.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
13806945c378,Track with agency,status,NYPD funding currently maintains Crossing Guard/Safety Agent headcounts; future depends on budget.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
13822697b966,Contact elected officials,funding,Parks hopes FY27 budget funds pruning and tree stump removal.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
13850b48d477,Track with agency,status,HPD already funds ELI/VLI and supportive housing through its development pipeline.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
13a6a231bae4,Track with agency,status,DEP/DOT are studying drainage/roadway issues; board will be informed of the outcome.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
13af622b2b12,Contact agency,discuss,Fencing is partially funded ($4M short); restroom construction is unfunded.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
13b1e52a2fd9,Contact elected officials,funding,"DOT cites capital funding constraints, capacity, and priorities as obstacles.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
13be4f14412b,Contact elected officials,funding,OMB says funding needs restoring/increasing; recommends bringing this to elected officials.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
13cc2c8bb63f,Contact agency,clarify,FDNY needs the specific firehouse identified; 150 projects underway citywide.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
13cc4db2b331,Track with agency,status,DCLA approved funding for this in FY2021.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
13cfbf6699f5,Contact elected officials,funding,NYC Aging will need additional funding for this request.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
13dfcce2e54d,Contact agency,clarify,DCLA needs the request tied to one organization and a specific project.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
13e18a208f51,Contact agency,discuss,Project is funded and underway but needs additional funding to complete.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
13f8a2d46ab4,Contact elected officials,funding,LPC agrees more staff is reasonable but funding isn't available now.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
14026431102f,Contact elected officials,funding,NYPD is working with OMB to secure capital funds for facility improvements.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
141041a5f94d,Track with agency,status,This Parks project was funded previously and the scope is now underway.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
141cb678d480,Track with agency,status,Homelessness prevention funding has already been allocated in the budget.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
141d5ff30ba6,Contact elected officials,funding,OMB recommends bringing this to elected officials.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
